编号,课程名称,核心内容,难度,与你方向的相关度
001,图形学中的数学,线性代数、计算几何、PCA/SVD、插值拟合29,⭐,🔶 基础工具，建议快速过
002,图形学研发基础工具,Linux/Shell、Git、CMake、调试工具,⭐,🔶 工程必备，按需学习
003,图形视觉科研基本素养,论文写作、图表设计、实验方法、Reproducibility19,⭐⭐,🔷 科研入门强烈推荐
101,现代计算机图形学入门（闫令琪）,光栅化、几何表示、光线追踪、动画模拟37,⭐⭐⭐,🔴 核心必修
102,几何建模与处理基础,网格表示、参数化、细分曲面、几何深度学习基础,⭐⭐⭐,🔴 3D生成核心前置
103,基于物理的计算机动画入门,质点系统、约束求解、角色动画,⭐⭐⭐,🔶 Embodied AI相关
104,现代游戏引擎:从入门到实践,Unity/Unreal架构、渲染管线、物理系统,⭐⭐⭐,🔶 仿真环境搭建参考
105,计算机角色动画基础,运动捕捉、骨骼动画、运动生成,⭐⭐⭐,🔷 Embodied动作生成
106,现代图形学绘制流水线原理与实践,GPU管线、Shader编程、实时渲染优化,⭐⭐⭐⭐,🔶 渲染/3D GS相关
201,高级物理引擎实战指南,刚体/流体/软体仿真、碰撞检测、GPU加速,⭐⭐⭐⭐,🔷 物理仿真/机器人
202,高质量实时渲染,PBR、全局光照、实时光追、神经渲染,⭐⭐⭐⭐,🔷 神经渲染/3D GS
203,三维重建和理解,多视图几何、SLAM、NeRF、3D重建评估,⭐⭐⭐⭐,🔴 3D Vision核心
204,计算成像,光场、相位恢复、计算摄影、神经成像,⭐⭐⭐⭐,🔶 前沿交叉方向
